New 32byte val;New 32byte 2nd val;Player Id;Weight;Height;Nacionalized;Nation;Early_cross;def_prowess;Clearing;Low_pass;place_kicking;Goal_celeb;LB;coverage;catching;Jump;Header;Ball_control;GK;GoalKeeping;Reflexes;Finishing;Ball_winning;Speed;Penalty_kick;Kicking_power;Dribling;Explosive_power;Stamina;Swerve;Pink_2;Age;Lofted_pass;Physical Contact;Body_Balance;Attacking_Prowess;Weak_foot_use;DMF;ulti_nuevo;Running_arm_mov;Dribling_arm_mov;Corner_kick;FORM;Position;Free_kick;Playing_Style;Pinpoint Crossing;Sombrero;Runing_Hutching;SS;Blue_2;RWF;LMF;RB;LWF;CF;CB;Dribling_hutching;AMF;Weak_foot_acc;RMF;Injury_res;CMF;COM Speeding Bullet;Scotch Move;GK Long Throw;Long Throw;Scissors Feint;Track Back;Super-sub;Rabona;Acrobatic Finishing;Stronger Foot;Knuckle Shot;First-time Shot;COM Incisive Run;CHECK22;Hidden Player;COM Long Ranger ;One-touch Pass;Heel Trick;UNK 27;Man Marking;UNK29; Marseille Turn; Heading;Outside Curler;Captaincy;Malicia;Low Punt Trajectory;COM Trickster;Low Lofted Pass;Fighting Spirit;Flip Flap;Weighted Pass;CHECK3;CHECK4;COM Mazing Run;Acrobatic Clear;COM Long Ball Expert;Cut Behind & Turn; Long Range Drive;Shirt_name;Name
106;0;745;78;183;0;225;0;82;40;70;55;13;0;40;40;73;80;68;0;40;40;59;78;59;1;69;62;57;71;62;0;38;68;81;69;56;2;0;6;1;1;1;4;1;1;0;0;0;1;0;0;0;0;1;0;0;2;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;HUGHES;A. HUGHES
107;0;811;78;183;0;204;0;78;40;80;76;4;1;40;40;74;72;77;0;40;40;67;76;63;1;79;69;67;70;74;0;36;77;79;68;68;2;2;5;1;5;1;7;4;1;8;0;0;1;0;2;0;1;0;0;0;1;3;1;3;1;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;BARRY;G. BARRY
0;0;817;70;173;0;204;0;46;40;75;60;10;0;40;40;79;76;84;0;40;40;89;41;88;1;82;86;90;78;70;0;19;57;60;85;86;2;0;6;1;6;1;6;12;1;1;0;0;1;1;1;0;0;0;0;2;0;2;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;OWEN;M. OWEN
0;0;830;80;182;0;228;0;52;76;65;45;0;0;81;81;70;60;65;2;73;81;45;50;63;1;79;56;62;63;45;0;42;66;80;61;41;4;0;4;1;1;1;7;0;1;17;0;0;1;0;0;0;0;0;0;0;0;1;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;QUIM;QUIM
109;0;852;84;185;0;236;0;69;82;70;58;43;0;90;82;86;70;65;2;89;91;56;62;71;1;82;64;68;70;69;1;36;74;86;62;58;1;0;7;1;3;1;5;0;1;16;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;CASILLAS;CASILLAS
0;0;873;75;179;0;236;0;56;76;62;53;15;0;71;74;74;60;60;2;78;73;50;59;60;1;72;56;62;54;62;1;42;66;79;64;41;2;0;3;1;1;1;5;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ESTEBAN;ESTEBAN
125;0;970;82;180;0;215;0;55;40;89;83;104;0;40;40;69;65;87;0;40;40;85;55;59;3;89;81;62;59;81;2;41;85;77;75;83;3;0;7;1;1;4;7;11;9;5;0;0;1;2;0;1;0;0;1;2;0;1;2;3;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;TOTTI;F. TOTTI
123;0;983;94;191;0;215;0;65;98;70;60;2;0;98;89;80;70;65;2;98;93;45;55;60;1;80;66;60;65;45;1;39;77;81;70;40;2;0;7;1;1;1;7;0;2;17;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;BUFFON;G. BUFFON
0;0;1290;78;185;0;229;0;56;80;55;52;0;0;82;78;76;60;54;2;83;80;51;50;57;1;80;53;55;59;54;0;39;55;78;54;40;2;0;3;1;1;1;4;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;LOBONT;B. LOBONT
0;0;1638;69;175;0;146;0;75;40;82;74;47;2;40;40;64;64;77;0;40;40;76;69;67;1;75;76;66;67;76;1;43;83;75;72;75;3;1;6;1;4;5;5;2;14;11;0;0;2;1;0;0;2;0;1;0;1;1;2;2;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;ZE ROBERTO;ZÉ ROBERTO
